,TIPO,SECTOR,LATITUD,LONGITUD,NOMBRE LOCAL,DIRECCION,CIUDAD,COMUNIDAD AUTONOMA,PROVINCIA,USUARIO DE EMPRESA,EMAIL,TELEFONO,ACUM VERDE,ACUM AMARILLO,ACUM ROJO,VALORACIONES,CERTIFICACION,IMAGEN
97,restaurante,hostelería,41.3908693,2.1131647,Casa de Cantabria,,Barcelona,Cataluña,Barcelona,,,,,,,,,
98,restaurante,hostelería,41.4387207,2.2175976,Bar Marisquería La Virgen del Rocío,carrer d'Europa 19,Barcelona,Cataluña,Barcelona,,,,,,,,,
99,restaurante,hostelería,41.3813599,2.1763298,NO NAME,Carrer d'Avinyó 9,Barcelona,Cataluña,Barcelona,,,,,,,,,
100,restaurante,hostelería,41.4069321,2.1784908,Pizzeria Vilaret,Passatge de Vilaret 54,Barcelona,Cataluña,Barcelona,,,,,,,,,
101,restaurante,hostelería,41.4007425,2.1591008,La Vietnamita,c/ Torrent de l'Olla 78,Barcelona,Cataluña,Barcelona,,,,,,,,,
102,restaurante,hostelería,41.4457382,2.1772349,NO NAME,,Barcelona,Cataluña,Barcelona,,,,,,,,,
103,restaurante,hostelería,41.3611496,2.077528,Marisquería Mare Nostrum,Ramoneda 34,Barcelona,Cataluña,Barcelona,,,,,,,,,
104,restaurante,hostelería,41.3758,2.1874945,Barceloneta,Carrer de l'Escar 22,Barcelona,Cataluña,Barcelona,,,,,,,,,
105,restaurante,hostelería,41.3884287,2.2011322,La Fonda del Port Olimpic,Moll del Gregal 7-8-9,Barcelona,Cataluña,Barcelona,,,,,,,,,
106,restaurante,hostelería,41.3899944,2.1736399,L'altra Llosa,,Barcelona,Cataluña,Barcelona,,,,,,,,,
107,restaurante,hostelería,41.3996711,2.1572503,Kibuka,carrer de Goya 9,Barcelona,Cataluña,Barcelona,,,,,,,,,
108,restaurante,hostelería,41.3849254,2.1766628,Taverna del Bisbe,Avinguda de la Catedral 6,Barcelona,Cataluña,Barcelona,,,,,,,,,
109,restaurante,hostelería,41.4052242,2.1882154,La Mola,,Barcelona,Cataluña,Barcelona,,,,,,,,,
110,restaurante,hostelería,41.3796584,2.1765082,Los Caracoles,Carrer dels Escudellers 14,Barcelona,Cataluña,Barcelona,,,,,,,,,
111,restaurante,hostelería,41.3711379,2.1724826,NO NAME,,Barcelona,Cataluña,Barcelona,,,,,,,,,
112,restaurante,hostelería,41.3864545,2.1666834,Macchina,,Barcelona,Cataluña,Barcelona,,,,,,,,,
113,restaurante,hostelería,41.3740074,2.1691478,Elche,,Barcelona,Cataluña,Barcelona,,,,,,,,,
114,restaurante,hostelería,41.4559598,2.2565509,Can Pic's,,Barcelona,Cataluña,Barcelona,,,,,,,,,
115,restaurante,hostelería,41.453471,2.2517998,la sita,,Barcelona,Cataluña,Barcelona,,,,,,,,,
116,restaurante,hostelería,41.4074238,2.1585521,Casa Vall,Plaça de Rovira i Trias 2,Barcelona,Cataluña,Barcelona,,,,,,,,,
117,restaurante,hostelería,41.381948,2.1717912,Pinotxo bar,,Barcelona,Cataluña,Barcelona,,,,,,,,,
118,restaurante,hostelería,41.3760061,2.15537,Inopia,,Barcelona,Cataluña,Barcelona,,,,,,,,,
119,restaurante,hostelería,41.3833615,2.1686848,Dos palillos,,Barcelona,Cataluña,Barcelona,,,,,,,,,
120,restaurante,hostelería,41.3841976,2.1748665,Bilbao Berria,Plaça Nova 3,Barcelona,Cataluña,Barcelona,,,,,,,,,
121,restaurante,hostelería,41.3908686,2.1674705,Tapas 24,Carrer de la Diputació 269,Barcelona,Cataluña,Barcelona,,,,,,,,,
122,restaurante,hostelería,41.3839345,2.1833856,Cal PEP,,Barcelona,Cataluña,Barcelona,,,,,,,,,
123,restaurante,hostelería,41.3822633,2.1834209,7 Portes,Passeig d'Isabel II 14,Barcelona,Cataluña,Barcelona,,,,,,,,,
124,restaurante,hostelería,41.3795214,2.1753958,Cerveceria,,Barcelona,Cataluña,Barcelona,,,,,,,,,
125,restaurante,hostelería,41.3845086,2.1816748,El Xampanyet,Carrer de Montcada 22,Barcelona,Cataluña,Barcelona,,,,,,,,,
126,restaurante,hostelería,41.3739942,2.1655692,Quimet i Quimet,Carrer del Poeta Cabanyes 25,Barcelona,Cataluña,Barcelona,,,,,,,,,
127,restaurante,hostelería,41.3522874,2.0857445,Restaurant Río Miño,,Barcelona,Cataluña,Barcelona,,,,,,,,,
128,restaurante,hostelería,41.3528752,2.0853531,La terraza,Carrer San Ferran 25,Barcelona,Cataluña,Barcelona,,,,,,,,,
129,restaurante,hostelería,41.3512446,2.0857555,La cuina sana,,Barcelona,Cataluña,Barcelona,,,,,,,,,
130,restaurante,hostelería,41.352936,2.085787,L'anfora,Passeig Ferrocarrils Catalans 186,Barcelona,Cataluña,Barcelona,,,,,,,,,
131,restaurante,hostelería,41.3910406,2.1510887,Taberna Maitea,Carrer de Casanova 155,Barcelona,Cataluña,Barcelona,,,,,,,,,
132,restaurante,hostelería,41.4542684,2.2071806,Restaurant Isalba,Carrer de Sant Jeroni 33,Barcelona,Cataluña,Barcelona,,,,,,,,,
133,restaurante,hostelería,41.3527829,2.0881909,Restaurante Wasabi,,Barcelona,Cataluña,Barcelona,,,,,,,,,
134,restaurante,hostelería,41.387064,2.1670471,Fresc Co,Ronda Universtat 29,Barcelona,Cataluña,Barcelona,,,,,,,,,
135,restaurante,hostelería,41.3819896,2.1696228,Dos Trece,Carrer del Carme 40,Barcelona,Cataluña,Barcelona,,,,,,,,,
136,restaurante,hostelería,41.4479278,2.2194465,Restaurante Rehman,Carrer del Mas Mari 103,Barcelona,Cataluña,Barcelona,,,,,,,,,
137,restaurante,hostelería,41.3512244,2.0855221,Public,,Barcelona,Cataluña,Barcelona,,,,,,,,,
138,restaurante,hostelería,41.4063985,2.1959205,Culleres,Carrer de Bolívia 138,Barcelona,Cataluña,Barcelona,,,,,,,,,
139,restaurante,hostelería,41.3510781,2.0832613,Wok Rei,,Barcelona,Cataluña,Barcelona,,,,,,,,,
140,restaurante,hostelería,41.3511707,2.0853802,Mondo Lirondo,,Barcelona,Cataluña,Barcelona,,,,,,,,,
141,restaurante,hostelería,41.3480207,2.0782828,Viena,,Barcelona,Cataluña,Barcelona,,,,,,,,,
142,restaurante,hostelería,41.3477147,2.078948,Muerde la pasta,,Barcelona,Cataluña,Barcelona,,,,,,,,,
143,restaurante,hostelería,41.3587078,2.0955786,El Celler del Museu,,Barcelona,Cataluña,Barcelona,,,,,,,,,
144,restaurante,hostelería,41.455484,2.2085643,NO NAME,,Barcelona,Cataluña,Barcelona,,,,,,,,,
145,restaurante,hostelería,41.3925451,2.1558968,El Filete Ruso,Enric Granados 95,Barcelona,Cataluña,Barcelona,,,,,,,,,
146,restaurante,hostelería,41.3948006,2.1940578,Mannà,,Barcelona,Cataluña,Barcelona,,,,,,,,,
147,restaurante,hostelería,41.4145198,2.1386657,Kaffe Bar,,Barcelona,Cataluña,Barcelona,,,,,,,,,
148,restaurante,hostelería,41.4144551,2.138515,NO NAME,,Barcelona,Cataluña,Barcelona,,,,,,,,,
149,restaurante,hostelería,41.352788,2.084875,Terra gourmet,Passeig dels Ferrocarrils Catalans 182,Barcelona,Cataluña,Barcelona,,,,,,,,,
150,restaurante,hostelería,41.350964,2.089284,La Trattoria,Avinguda Maresme 9999,Barcelona,Cataluña,Barcelona,,,,,,,,,
151,restaurante,hostelería,41.3523197,2.0818285,La Tagliata (Boccone),,Barcelona,Cataluña,Barcelona,,,,,,,,,
152,restaurante,hostelería,41.352996,2.086066,Wok Teppanyaki Nova Cornellà,Passeig ferrocarrils catalans 188,Barcelona,Cataluña,Barcelona,,,,,,,,,
153,restaurante,hostelería,41.4512836,2.2109017,La canyella,Carrer de Vistalegre 35,Barcelona,Cataluña,Barcelona,,,,,,,,,
154,restaurante,hostelería,41.4073453,2.1637131,Dolce pizza y los veganos,Carrer de Hipolit Lazaro 34,Barcelona,Cataluña,Barcelona,,,,,,,,,
155,restaurante,hostelería,41.4057927,2.1624391,Ugarit,Carrer de Bruniquer 69,Barcelona,Cataluña,Barcelona,,,,,,,,,
156,restaurante,hostelería,41.388176,2.157611,Restaurant la Noguera,Carrer de València 196,Barcelona,Cataluña,Barcelona,,,,,,,,,
157,restaurante,hostelería,41.3771451,2.1631914,Sucursal Aceitera,Carrer del Comte Borrell 36,Barcelona,Cataluña,Barcelona,,,,,,,,,
158,restaurante,hostelería,41.4218746,2.141935,Bar Plaza,,Barcelona,Cataluña,Barcelona,,,,,,,,,
159,restaurante,hostelería,41.422032,2.1422214,Casa Noni,,Barcelona,Cataluña,Barcelona,,,,,,,,,
160,restaurante,hostelería,41.4053041,2.1599362,Il Giardinetto di Gracia,Carrer de Sant Lluís 37,Barcelona,Cataluña,Barcelona,,,,,,,,,
161,restaurante,hostelería,41.4049058,2.159524,Restaurant El Glop,Carrer de Sant Lluís 24,Barcelona,Cataluña,Barcelona,,,,,,,,,
162,restaurante,hostelería,41.4016682,2.1614481,Restaurant Lautrec,Carrer Tordera 33,Barcelona,Cataluña,Barcelona,,,,,,,,,
163,restaurante,hostelería,41.4010659,2.1546092,Somodó Restaurant,,Barcelona,Cataluña,Barcelona,,,,,,,,,
164,restaurante,hostelería,41.3899136,2.1208597,Bar Rala,,Barcelona,Cataluña,Barcelona,,,,,,,,,
165,restaurante,hostelería,41.3894387,2.1216161,Neichel,,Barcelona,Cataluña,Barcelona,,,,,,,,,
166,restaurante,hostelería,41.3876171,2.1290933,Mussol Restaurant,,Barcelona,Cataluña,Barcelona,,,,,,,,,
167,restaurante,hostelería,41.3802664,2.0964572,"Restaurant ""La Masia""",,Barcelona,Cataluña,Barcelona,,,,,,,,,
168,restaurante,hostelería,41.388496,2.1313619,Mosaïc Restaurant,,Barcelona,Cataluña,Barcelona,,,,,,,,,
169,restaurante,hostelería,41.3887665,2.1309171,Piscolabis,,Barcelona,Cataluña,Barcelona,,,,,,,,,
170,restaurante,hostelería,41.3904694,2.121454,Temporada Paradís Restaurant,,Barcelona,Cataluña,Barcelona,,,,,,,,,
171,restaurante,hostelería,41.3905079,2.123438,Foster's Hollywood,,Barcelona,Cataluña,Barcelona,,,,,,,,,
172,restaurante,hostelería,41.3896548,2.1242989,La Tagliatella,doctor Ferran 25,Barcelona,Cataluña,Barcelona,,,,,,,,,
173,restaurante,hostelería,41.3912364,2.1250687,Restaurant A la menta,,Barcelona,Cataluña,Barcelona,,,,,,,,,
174,restaurante,hostelería,41.3878907,2.1612286,Le Petit Cabaret,,Barcelona,Cataluña,Barcelona,,,,,,,,,
